label,is_sig_session,n_stage2,best_pair,best_r,best_abs_r,best_q_fdr,top_h1_zero_mean,rest_h1_zero_mean,delta_h1_zero,rho_h1_zero,p_h1_zero,top_h1_total_persistence_mean,rest_h1_total_persistence_mean,delta_h1_total_persistence,rho_h1_total_persistence,p_h1_total_persistence,top_lambda2_mean,rest_lambda2_mean,delta_lambda2,rho_lambda2,p_lambda2,top_aspl_mean,rest_aspl_mean,delta_aspl,rho_aspl,p_aspl,top_Q_Ricci_mean,rest_Q_Ricci_mean,delta_Q_Ricci,rho_Q_Ricci,p_Q_Ricci,top_abs_Q_Ricci_mean,rest_abs_Q_Ricci_mean,delta_abs_Q_Ricci,rho_abs_Q_Ricci,p_abs_Q_Ricci,top_E_Ricci_mean,rest_E_Ricci_mean,delta_E_Ricci,rho_E_Ricci,p_E_Ricci,top_qricci_cross_any_mean,rest_qricci_cross_any_mean,delta_qricci_cross_any,rho_qricci_cross_any,p_qricci_cross_any
P1,1,1,p00 x Delta_mean,0.5838572568879881,0.5838572568879881,0.0017396888699372634,0.2857142857142857,0.2631578947368421,0.022556390977443608,0.2138871258159496,0.2940952460811157,0.1046912043128604,0.014734764022939235,0.08995644028992117,-0.11080945607274896,0.5899589093372072,6.097775028341914,8.190902310753907,-2.0931272824119933,-0.09743589743589742,0.6358405014930664,1.8553896207159064,1.3552912150902234,0.500098405625683,0.05914529914529914,0.7741107650674119,-0.0016110087395838286,-0.0018459576943102684,0.00023494895472643985,-0.03316806340149801,0.8722109607141705,0.0016110087395838286,0.0018459576943102684,-0.00023494895472643985,0.03316806340149801,0.8722109607141705,-7.946014602095294,-8.457673943677221,0.511659341581927,0.24786324786324784,0.22213758900788597,0.0,0.0,0.0,,
P10,0,0,p01 x Theta_mean,0.37726358469532195,0.37726358469532195,,0.0,0.3157894736842105,-0.3157894736842105,-0.02434322477800738,0.9060367137584853,0.19099760758121015,0.0762301598879906,0.11476744769321955,-0.1135016260279685,0.5808984547598157,3.531137928538204,3.2252052149101598,0.3059327136280441,0.012649572649572649,0.9510960223522145,2.352227102574905,2.1539997922031286,0.19822731037177643,-0.16034188034188035,0.43394468914814194,-0.05511815347925365,-0.04705200943757835,-0.0080661440416753,-0.2246153846153846,0.26995718547404907,0.05511815347925365,0.04705200943757835,0.0080661440416753,0.2246153846153846,0.26995718547404907,-7.334183659194415,-8.396214317242348,1.0620306580479335,0.05709401709401708,0.7817558545613772,0.0,0.0,0.0,,
P11,1,1,p00 x Alpha_mean,-0.4417072788973545,0.4417072788973545,0.023875647276081984,0.0,0.05263157894736842,-0.05263157894736842,-0.12,0.5592837048093395,0.28609620054914886,0.23144595595038298,0.054650244598765885,0.2341880341880342,0.24952570142110486,2.3527645407276134,2.769198432052478,-0.41643389132486464,-0.20341880341880342,0.3189123272487903,2.753969519216304,2.504170237975119,0.2497992812411849,0.08717948717948718,0.6719485163676728,-0.007242114514211659,-0.04407839954980836,0.0368362850355967,0.09233926668600848,0.653688532330008,0.091319692867365,0.04407839954980836,0.04724129331755663,0.041039674082670424,0.8422206247061368,-7.132087283991596,-7.934888668417744,0.8028013844261483,0.0899145299145299,0.6622460806602856,0.42857142857142855,0.0,0.42857142857142855,0.44141479464782046,0.023979764350879725
P12,0,0,p00 x Beta_mean,-0.24381994558612524,0.24381994558612524,,0.0,0.10526315789473684,-0.10526315789473684,-0.21169509870286274,0.29918861160488625,0.24978737608065466,0.16699760657673024,0.08278976950392442,0.17336297056246902,0.39702506135155724,2.332892690487109,2.858645571444438,-0.5257528809573291,0.06666666666666665,0.7462587084883725,2.6386363578520213,2.503020883492027,0.13561547435999444,0.037948717948717944,0.8539737921729723,-0.07134956398813883,-0.06898485077853603,-0.002364713209602798,0.08170940170940172,0.6915062731609445,0.07134956398813883,0.06898485077853603,0.002364713209602798,-0.08170940170940172,0.6915062731609445,-8.118807996422479,-8.061439334432395,-0.05736866199008439,-0.13777777777777778,0.5020979158921547,0.0,0.0,0.0,,
P13,0,0,p10 x Delta_mean,0.3231263486039789,0.3231263486039789,,0.0,0.05263157894736842,-0.05263157894736842,-0.17333333333333334,0.3971070220341036,0.167087387789568,0.21282421369113516,-0.04573682590156716,-0.08034188034188033,0.6964265533973151,2.568693918661056,2.604397316577719,-0.03570339791666299,-0.048888888888888885,0.8125273985485002,2.6242198706086834,2.613305480413098,0.010914390195585266,0.22666666666666666,0.26549127022495705,-0.0642404081248087,-0.06600703644892515,0.0017666283241164482,-0.025641025641025637,0.9010507897194637,0.0642404081248087,0.06600703644892515,-0.0017666283241164482,0.025641025641025637,0.9010507897194637,-8.479765894571264,-7.917727380452796,-0.5620385141184681,-0.30735042735042734,0.1266731704459642,0.0,0.0,0.0,,
P14,1,1,p10 x Gamma_mean,0.42189494938528305,0.42189494938528305,0.03180723442228925,0.14285714285714285,0.15789473684210525,-0.015037593984962405,0.11370704872299223,0.5802096194602053,0.1660201445936052,0.22634495668820404,-0.060324812094598834,-0.20719208457296812,0.3098234034677725,4.1551957522211955,3.476004973519671,0.6791907787015243,0.037948717948717944,0.8539737921729723,2.2048335587422883,2.5379014493528973,-0.33306789061060904,-0.3429059829059829,0.0863581084044929,-0.056378899880650715,-0.06750286834196542,0.011123968461314707,-0.04478632478632478,0.8280184325778593,0.056378899880650715,0.06750286834196542,-0.011123968461314707,0.04478632478632478,0.8280184325778593,-8.358065474275039,-7.31247202388247,-1.0455934503925688,-0.305982905982906,0.1284581527337896,0.0,0.0,0.0,,
P15,0,0,p11 x Theta_mean,0.3555762737972186,0.3555762737972186,,0.14285714285714285,0.10526315789473684,0.03759398496240601,0.24879742971058968,0.22034336506761465,0.2660564846849578,0.2504125878680513,0.015643896816906477,-0.18234694655046124,0.372623198232128,4.131815679804832,4.230400493657732,-0.09858481385289952,0.1617094017094017,0.42998234364675897,2.6291147587384627,2.4768096898371534,0.15230506890130924,-0.0010256410256410254,0.99603250126501,0.004966943972938142,-0.03957985571307548,0.04454679968601362,0.1911111111111111,0.34967862286128465,0.08337590887728442,0.07263697820557613,0.010738930671708294,-0.1288888888888889,0.5303244428479803,-7.551685895164309,-8.025320633128084,0.4736347379637751,0.03863247863247863,0.8513711309126146,0.2857142857142857,0.10526315789473684,0.18045112781954886,0.04264014327112208,0.8361476823140482
P16,0,0,p01 x Theta_mean,-0.3362549185713062,0.3362549185713062,,0.14285714285714285,0.05263157894736842,0.09022556390977443,0.19245008972987526,0.346248750485943,0.16039678097040438,0.2859411439475744,-0.12554436297717003,-0.1784920525317728,0.3829851470775525,4.349336442243845,3.306309432483545,1.0430270097603,0.05504273504273505,0.7894207318868964,2.4033528176054624,2.6455752577922165,-0.2422224401867541,-0.15008547008547007,0.4642834547396422,0.002822967884175346,-0.03985211377702148,0.04267508166119683,0.5507692307692307,0.003547884017365751,0.07715697078983452,0.07263669315427253,0.004520277635561995,-0.5849572649572649,0.0016967541786882278,-8.180650601876016,-7.686673007409584,-0.49397759446643175,-0.09811965811965812,0.6334607337921198,0.42857142857142855,0.15789473684210525,0.2706766917293233,0.060858061945018464,0.7677429687602673
P17,1,1,p00 x Beta_mean,-0.4434573762170213,0.4434573762170213,0.023260292026116892,0.2857142857142857,0.10526315789473684,0.18045112781954886,0.24162747853635846,0.2343648937893965,0.08169900160249077,0.13550017296420994,-0.05380117136171916,-0.3123292250091685,0.12032704322213068,3.530581255934481,2.9443283909187805,0.5862528650157004,0.13435897435897434,0.5128654568168941,1.8964128950659915,2.25525244072788,-0.35883954566188847,-0.26153846153846155,0.1968407049758305,-0.06886340310441451,-0.06607235237384497,-0.0027910507305695387,-0.06461538461538462,0.753825618259991,0.06886340310441451,0.06607235237384497,0.0027910507305695387,0.06461538461538462,0.753825618259991,-8.646432345477697,-8.230646239055476,-0.415786106422221,-0.11111111111111109,0.5889406689905491,0.0,0.0,0.0,,
P18,0,0,p11 x Gamma_mean,0.33014200768792035,0.33014200768792035,,0.14285714285714285,0.15789473684210525,-0.015037593984962405,-0.028426762180748057,0.8903610421673733,0.2728307954131445,0.09844272710710249,0.17438806830604198,0.11472619558999061,0.5767974679553854,4.573284755107609,4.118055761280133,0.4552289938274754,-0.11316239316239315,0.582036773695964,2.4706440776936973,1.8218414943704104,0.6488025833232869,0.07145299145299144,0.7286924784090695,-0.07140960527876625,-0.017043652927073043,-0.054365952351693204,-0.26905982905982906,0.1838038236459946,0.07140960527876625,0.0772399788526981,-0.005830373573931846,0.12068376068376069,0.5570308332419986,-7.52829113902105,-8.110386294492933,0.5820951554718832,-0.02017094017094017,0.9220884873072566,0.42857142857142855,0.15789473684210525,0.2706766917293233,0.2677754725580812,0.18598650088410124
