label,best_band,best_metric,best_quantum_state,best_r,best_abs_r,best_p,n_stage1_raw_p05,n_stage2_fdr05,n,best_stage2_band,best_stage2_metric,best_stage2_quantum_state,best_stage2_r,best_stage2_abs_r,best_stage2_p,best_stage2_p_fdr
P1,Delta,peak,p00,0.6899595689337557,0.6899595689337557,9.619689775507846e-05,3,3,26,Delta,peak,p00,0.6899595689337557,0.6899595689337557,9.619689775507846e-05,0.00020815625253714032
P5,Beta,mean,p11,0.5390466383865049,0.5390466383865049,0.004490091080210505,1,1,26,Beta,mean,p11,0.5390466383865049,0.5390466383865049,0.004490091080210505,0.004490091080210505
P26,Alpha,mean,p10,-0.4750037368874248,0.4750037368874248,0.014199957852606276,1,1,26,Alpha,mean,p10,-0.4750037368874248,0.4750037368874248,0.014199957852606276,0.014199957852606276
P4,Theta,mean,p11,-0.46293223169787134,0.46293223169787134,0.017241492232409637,6,6,26,Theta,mean,p11,-0.46293223169787134,0.46293223169787134,0.017241492232409637,0.048767767096046945
P11,Alpha,mean,p00,-0.456741319890445,0.456741319890445,0.018997330707967663,1,1,26,Alpha,mean,p00,-0.456741319890445,0.456741319890445,0.018997330707967663,0.018997330707967663
P8,Beta,mean,p11,-0.4527652643273026,0.4527652643273026,0.02020019152410587,4,4,26,Beta,mean,p11,-0.4527652643273026,0.4527652643273026,0.02020019152410587,0.03544304872121009
P20,Gamma,stability,p01,0.42236354372231333,0.42236354372231333,0.03159792533178761,1,1,26,Gamma,stability,p01,0.42236354372231333,0.42236354372231333,0.03159792533178761,0.03159792533178761
P2,Alpha,mean,p00,-0.41903735154897825,0.41903735154897825,0.033107834779739255,1,1,26,Alpha,mean,p00,-0.41903735154897825,0.41903735154897825,0.033107834779739255,0.033107834779739255
P21,Delta,peak,p10,-0.41640692377595534,0.41640692377595534,0.03434234769188868,4,4,26,Delta,peak,p10,-0.41640692377595534,0.41640692377595534,0.03434234769188868,0.04788465480045777
P9,Beta,stability,p11,-0.41481804127079613,0.41481804127079613,0.03510568622640778,2,2,26,Beta,stability,p11,-0.41481804127079613,0.41481804127079613,0.03510568622640778,0.03884809518098925
P19,Alpha,peak,p11,0.41035403829644,0.41035403829644,0.03732300501126132,2,2,26,Alpha,peak,p11,0.41035403829644,0.41035403829644,0.03732300501126132,0.04422516371230224
P16,Theta,mean,p00,0.40290746931829413,0.40290746931829413,0.04126861539462828,4,4,26,Theta,mean,p00,0.40290746931829413,0.40290746931829413,0.04126861539462828,0.04657198898275926
P17,Alpha,stability,p11,0.3930283834229429,0.3930283834229429,0.04700518949977811,1,1,26,Alpha,stability,p11,0.3930283834229429,0.3930283834229429,0.04700518949977811,0.04700518949977811
P23,Delta,mean,p11,0.38520021234361024,0.38520021234361024,0.05198181074139672,0,0,26,,,,,,,
P25,Delta,peak,p00,-0.38158134197211874,0.38158134197211874,0.054417460747258076,0,0,26,,,,,,,
P14,Gamma,mean,p00,-0.37400383932990844,0.37400383932990844,0.059805373518791935,0,0,26,,,,,,,
P3,Delta,stability,p00,-0.36405798690863606,0.36405798690863606,0.06749487070821357,0,0,26,,,,,,,
P10,Theta,mean,p01,0.3557079095521867,0.3557079095521867,0.0745198774711439,0,0,26,,,,,,,
P15,Beta,stability,p11,-0.35147468814270555,0.35147468814270555,0.07828822930284292,0,0,26,,,,,,,
P6,Beta,stability,p10,-0.33037782025415713,0.33037782025415713,0.09926775292494527,0,0,26,,,,,,,
P18,Alpha,peak,p01,-0.32619325941990474,0.32619325941990474,0.10388540918560371,0,0,26,,,,,,,
P12,Gamma,stability,p01,0.31136807315844883,0.31136807315844883,0.12153363470576531,0,0,26,,,,,,,
P24,Beta,mean,p10,0.30713115063971386,0.30713115063971386,0.12695816234237547,0,0,26,,,,,,,
P7,Gamma,mean,p01,-0.28834341363330906,0.28834341363330906,0.15314563431778846,0,0,26,,,,,,,
P13,Delta,peak,p10,0.2868927708413522,0.2868927708413522,0.15531625418167183,0,0,26,,,,,,,
P22,Delta,mean,p11,0.2607308367348147,0.2607308367348147,0.19827727635888442,0,0,26,,,,,,,
