label,task_idx,p00,p01,p10,p11,Delta_mean,Delta_peak,Delta_stability,Theta_mean,Theta_peak,Theta_stability,Alpha_mean,Alpha_peak,Alpha_stability,Beta_mean,Beta_peak,Beta_stability,Gamma_mean,Gamma_peak,Gamma_stability
P1,1,0.26,0.21,0.3,0.23,50.96395111646456,181.8188217464891,-52.731345598016354,12.272494037331471,34.60218443057158,-9.712745724712782,41.986282093400106,100.19002556291733,-26.175346872290454,66.83718979605204,105.49979634354636,-18.60341503698978,25.049628467912672,71.14816399225268,-16.623115491880874
P1,2,0.22,0.23,0.26,0.29,54.46937273266654,192.52986703158268,-51.34268268232207,18.26876800494939,44.54702037886044,-11.56530446001477,41.63941599637666,88.47038705264475,-26.699741829244314,53.2829925161279,112.4939669513155,-21.5884159258207,35.98796852001388,85.61878223628763,-18.538400189499463
P1,3,0.25,0.26,0.27,0.22,43.67085225845288,74.40408253178262,-18.281453536359095,20.797361360445592,85.82052581692551,-18.702161126633243,31.18180399743902,54.70897252563995,-15.111925448994246,65.15821979224282,127.60144012876464,-28.71680041912281,38.1834823044797,72.44283918411969,-17.26988620276178
P1,4,0.3,0.27,0.23,0.2,210.6319335030101,2379.9888530561766,-409.499800889691,24.402302472215588,87.91173295424807,-24.056760191917263,21.82172513262027,58.08854130970207,-19.69893271696464,66.956074894906,120.74145309455686,-24.05547582901007,57.96846364894171,182.78585386385276,-26.048686370016075
P1,5,0.25,0.19,0.3,0.26,476.1227378413316,1494.3277402153828,-436.49207654214894,11.135931170485671,30.993845846512116,-7.781164941488165,30.7982908235338,84.77036474884936,-21.195515831684002,66.49941156899315,113.84343964456833,-17.94226792181933,39.522410578900335,102.36610064033371,-25.756331907915648
P1,6,0.27,0.2,0.3,0.23,2272.4165107323565,7282.427431552262,-2177.2317162437507,45.25315459703637,162.15265331238464,-41.73637276693999,56.5800802071705,128.21472008459259,-36.30065451882813,68.90564136962114,204.0026835108651,-45.20027355063444,66.45426099947238,180.2131818540917,-44.36502820205857
P1,7,0.25,0.2,0.27,0.28,2027.23025021553,4947.9692366856925,-1701.0089603193803,33.520111870059445,84.34986876643119,-21.543661746126713,14.99279390297293,30.011184202630933,-8.026717070461732,68.01377549037349,161.92635612106668,-31.607185573324124,45.978204151883794,91.49748055918329,-21.30870962336883
P1,8,0.35,0.17,0.21,0.27,5077.08568221349,19078.630206047164,-6057.1675942930815,54.90598105769204,176.825325426547,-44.60249323815194,26.656224876810825,62.83030963710715,-14.7593800572497,91.01985594525647,164.44221581033702,-33.76452852607502,85.1107987243322,200.9692570060093,-54.18675806005599
P1,9,0.33,0.24,0.23,0.2,143.75413927661452,433.86171628419436,-121.7921054297547,41.23578348989889,99.23628275428187,-24.86102057923556,57.3858877849445,114.96883464866511,-28.19116861495963,127.11115912286564,348.28472373098066,-76.27553765519593,55.86410979437573,148.31589101349067,-34.086269946831
P1,10,0.37,0.2,0.18,0.25,8368.406107866043,34865.115307520384,-11126.2290012149,27.33954756484849,76.98465354381096,-18.04903186458743,31.814301439569935,82.3396193493898,-21.00057178397653,84.81927684695727,252.26260426341054,-54.37855255636729,53.30162568788706,110.04487130602783,-20.958950150134662
P1,11,0.34,0.25,0.2,0.21,20897.55459140166,49531.40990542336,-12941.022907093231,84.27426490127496,404.1452082228805,-109.86927767871897,56.11746941555827,188.67077460091272,-51.144383361709515,112.51184358176101,352.42322562798853,-78.73385473130783,71.55546073690418,220.30851237484856,-44.80459057778289
P1,12,0.26,0.2,0.26,0.28,143.40925587633043,534.7818385212939,-137.99773500848264,49.195723844561726,190.40955201390125,-52.33500762142626,29.526033825596556,79.88878589150534,-25.87258986443861,82.65315555705254,147.02139184001177,-34.19049331125373,33.06828440070288,76.90956916250157,-17.44083241999759
P1,13,0.27,0.25,0.23,0.25,2426.3844022366306,9332.165126225704,-1982.0995110767649,73.4333145132455,197.39620686150084,-48.91264596800448,31.504889733468538,69.24364321859682,-16.45257968571313,88.91045560614998,156.84190301626722,-37.78308663871892,42.635314621302975,105.5715425192997,-26.496536010109274
P1,14,0.33,0.18,0.28,0.21,14092.97064745341,39094.439696787835,-12234.07801024212,87.34059916712576,392.7166298489818,-102.773057010429,38.24190630554784,140.95569125299852,-36.50789540482788,93.06180172911716,178.9131971041602,-40.4546891194194,100.60363265421546,188.51303963314433,-47.6769641274738
P1,15,0.22,0.33,0.27,0.18,3412.8915497294506,8910.256444428942,-3064.1468159984724,69.46649144153277,196.01830237330512,-56.33590103493226,39.20934243383694,126.79515153744931,-35.20694737865375,79.40123617224636,143.7014456590895,-28.301131098194627,115.85125676236319,347.7555425953865,-78.85558923062875
P1,16,0.29,0.16,0.33,0.22,6808.501548169255,17227.36124812602,-4744.279138216235,40.253753846081295,234.35639188714782,-35.630696655620575,27.661180656554016,49.591109391711235,-10.748579913503985,126.47388271626266,324.4862164617755,-67.05620627154532,134.19302470348458,515.6800003693088,-131.72836827025571
P1,17,0.26,0.25,0.27,0.22,15249.045564879454,32586.4003039711,-8787.254340477293,325.58285990597716,1559.2593563112382,-412.2620672624764,185.69748928163688,549.1687423108203,-159.12223688729665,265.53406151194486,830.1167192621599,-217.2218637400783,94.44662989277896,213.52706337632608,-49.15493323954916
P1,18,0.31,0.22,0.26,0.21,3057.687706205522,7662.669913265321,-1919.9385255096313,43.25349304272007,96.8283851664455,-29.266795823175205,22.61225412543725,95.94521908455803,-19.41010829595198,51.47147079002678,130.7047426179521,-29.298195603541217,21.60342438287585,49.98988845772047,-11.814665608903203
P1,19,0.29,0.25,0.24,0.22,4045.887956575923,19706.118285778357,-5945.839571179344,22.212101080211575,60.0459923507518,-12.834596188762038,60.2178438255096,196.22514070752658,-49.31538512542893,65.41844041101687,105.73685699868915,-22.31890111258532,56.94059210292657,204.89649142953766,-56.50540732676057
P1,20,0.35,0.21,0.27,0.17,13676.979770458449,36319.97247444056,-11338.103395964894,114.06735664617096,446.4693419220306,-131.21898836257532,16.9085619563468,66.0815772454075,-17.68067925282531,102.78676187549169,261.6171948790003,-60.99784331596801,65.72969617006737,175.5841596021436,-42.77060444055363
P1,21,0.28,0.19,0.3,0.23,13686.883889888411,30797.8751608953,-10444.819231825373,40.130174003153954,163.88539559803687,-43.021533920172125,38.92004209544969,113.77689182054903,-27.910583316122448,118.2582399197513,286.01176870646805,-69.13446091849146,165.2770948615401,545.4070074226802,-133.83979813165269
P1,22,0.37,0.2,0.22,0.21,6759.190037557578,38792.92223832876,-9815.745263493935,54.71860860665267,177.38658964945927,-46.188252250891495,23.67039294715152,48.57935302894978,-14.036872730801605,105.58377060897446,225.25327484175108,-39.36182177584659,94.69711340509213,222.71050850538865,-49.629095360760154
P1,23,0.31,0.22,0.22,0.25,11479.153540485584,22043.286453295634,-6742.910600886112,114.92112579833777,439.0126305655664,-118.08705342111699,26.97498187279031,62.65205209191187,-15.98192939726008,129.3172745627278,285.88972098344294,-75.05912238911155,93.09874449289696,219.42656005832023,-50.30252096151891
P1,24,0.33,0.11,0.25,0.31,10547.022438392763,21311.607817608412,-6428.9141334063,77.43091249956231,288.458089995756,-80.79392937934183,54.55906791092942,143.91944546545383,-37.995574344256966,115.73837839764008,231.69359621256925,-47.49367142332047,113.97164280132938,246.47409995211055,-49.43654805986744
P1,25,0.32,0.16,0.3,0.22,5985.208546862987,28415.75924309599,-6659.992267152322,87.3068665963886,282.0954524510394,-92.75634776484056,27.243787603188018,98.85773862819488,-29.44611192796399,133.3807309588749,293.0960290516995,-59.53833181702719,90.21310555897247,173.8256265529694,-45.47726787204061
P1,26,0.35,0.2,0.23,0.22,12112.185166145624,41954.02340684883,-15190.556192661721,145.49073945175434,651.7153713590478,-196.4453081570575,31.21352762596613,75.85853506369003,-19.311304377058107,148.96103182202586,484.84733302450894,-118.87664594710004,63.67589834220385,123.00567030687971,-26.30506403658664
P1,27,0.2,0.22,0.3,0.28,1613.0419654201653,20009.682436234172,-3904.1260622712794,29.68124371844709,71.56727972642796,-18.12911636096603,26.802693284605922,67.19691231336196,-19.1900971412739,95.96169179919809,178.21200746723372,-28.069596593091358,56.5095165319361,120.9043822072401,-29.26186786461582
P1,28,0.24,0.24,0.3,0.22,41.01721455435697,136.80671258828323,-30.091048372560678,30.65717465155811,123.68935167600418,-36.44003252388534,22.617623657459017,59.402992901786355,-14.067850365741728,85.50291854717187,151.7002552086258,-29.414992052240745,49.620078995847024,77.7347263772322,-16.39483546054245
P1,29,0.34,0.25,0.18,0.23,83.41628551225264,330.877570354877,-92.27744468330908,15.520493126294456,29.29601952093522,-7.04446144341552,33.69227886375789,94.00102121428023,-22.431188119054983,61.80839318532762,121.2906967986616,-21.346617022902848,58.894838281110324,129.21098947272736,-29.267347391574212
P1,30,0.29,0.21,0.23,0.27,4941.405401714497,14015.431215491084,-4828.707969889238,49.074846467888506,173.40473693010705,-47.05064838440609,30.253509372518018,94.40322994740228,-23.590774860068066,106.24098000720335,291.3277185625127,-62.5968971799651,59.97097611878108,97.93632114211408,-20.44529313317803
P2,1,0.36,0.17,0.27,0.2,291.3814305754517,2281.129963342753,-407.40737024035155,27.581401894814856,171.64962473086098,-25.76890978906973,93.4378938320959,186.55463894912185,-39.63688157057563,21.912854897234205,60.21836290393784,-10.604905809626219,5.0471565875381135,11.542483977792191,-2.839485141148228
P2,2,0.2,0.32,0.3,0.18,539.0004184899733,1991.7711733317121,-600.6702058058545,12.993603451870037,26.839054510584013,-5.889380511248303,127.26249700010749,215.69926916587883,-55.56303528744863,17.21720864861119,37.96338940069731,-7.517747530598391,3.2964315898467405,7.363607847865332,-1.588290023065476
P2,3,0.34,0.17,0.28,0.21,322.3048904538864,1858.102928596375,-476.68060732998856,9.300951201018531,38.79203655120058,-9.634432432425053,95.46484280086317,171.41592383601608,-43.51622727309351,16.29420512974219,34.10923001515641,-7.51047998196885,2.267226352067939,4.068305067110044,-1.0189550353402348
