label,task_idx,n_valid_channels,h1_total_persistence,h1_max_persistence,h1_count,h1_zero,lambda2,aspl
P1,1,14,0.010460846887906938,0.007004677379858659,2,0,3.151469333610612,2.222241761536602
P1,2,14,0.0,0.0,0,1,1.8423703545120658,2.6972755167688245
P1,3,14,0.5600976907812268,0.23876232832182298,4,0,2.202536538955636,3.1547699741368977
P1,4,14,0.0029657271938792196,0.0029657271938792196,1,0,4.658895431486844,1.4843636458997462
P1,5,14,0.11499311587965921,0.11499311587965921,1,0,2.4980677898392516,2.196876523630646
P1,6,14,0.014064945825088548,0.014064945825088548,1,0,9.490441604334785,1.1328904242026925
P1,7,14,0.0,0.0,0,1,6.5410164106399815,1.3010620592346938
P1,8,14,0.001685540632790583,0.001685540632790583,1,0,13.415526124924542,1.0193268227489825
P1,9,14,0.21464955076829295,0.12117850591251156,4,0,2.970009218971048,2.458439641296464
P1,10,14,0.0003809498529967481,0.00025070278663608114,3,0,13.481996825941666,1.0107815450667996
P1,11,14,0.0,0.0,0,1,4.043709768863935,1.4309803635592973
P1,12,14,0.0,0.0,0,1,5.235767145879861,1.7581662630151322
P1,13,14,0.0003139408298062918,0.0003139408298062918,1,0,10.388410986579917,1.1512848038838912
P1,14,14,0.0,0.0,0,1,11.621484197365438,1.0532553189219949
P1,15,14,0.05621513735845596,0.051867461795993886,2,0,5.752988728211181,1.4668618331077838
P1,16,14,0.0016223305993212644,0.0016223305993212644,1,0,6.411222562292309,1.3386100849647362
P1,17,14,0.006206612437735681,0.00530411268166564,2,0,5.2828420952476955,1.42643615041469
P1,18,14,0.0,0.0,0,1,5.9717855675337255,1.5103304279560916
P1,19,14,0.0,0.0,0,1,5.453734738179945,1.2700374901262894
P1,20,14,0.0006077596214569825,0.0006077596214569825,1,0,12.86156327199846,1.024997216454135
P1,21,14,0.0004767575443078709,0.0004767575443078709,1,0,9.961660051432778,1.148534525283809
P1,22,14,0.0004608141798317922,0.0002795558841492962,2,0,13.57546538325793,1.0095864679088944
P1,23,14,0.007223675676993335,0.006576681263689155,2,0,8.043765326084698,1.2350149326150484
P1,24,14,0.01495729456245165,0.009591330950796007,2,0,8.871384203577662,1.1474440508961832
P1,25,14,0.004491529444443421,0.004491529444443421,1,0,11.100266696982798,1.072726670741502
P1,26,14,0.000924726549224042,0.0007302457894383663,2,0,13.483188746012868,1.0159659173537605
P1,27,14,0.0008974989508416797,0.0006987419481757629,3,0,12.042643467092198,1.0291268566031706
P1,28,14,0.3362812937672871,0.10219425263509052,5,0,2.5804939730603795,3.0208709340651323
P1,29,14,0.0692782415333506,0.0692782415333506,1,0,2.4620685586160382,2.6412792101151767
P1,30,14,0.001084332990796688,0.000611063198744155,2,0,10.916746574204149,1.0679785255367436
P2,1,14,0.15056615607483337,0.07315197899764192,3,0,1.9185987662822157,2.865544981772561
P2,2,14,0.09599807683205375,0.08051276734470159,2,0,2.4079928512969033,2.8157566217380015
P2,3,14,0.0,0.0,0,1,2.138007723053859,1.9475568396056409
P2,4,14,0.10067018464654542,0.05553907749916487,2,0,2.3413734309785954,2.348420917217801
P2,5,14,0.0,0.0,0,1,2.9394721714294962,1.61526530112936
P2,6,14,0.0,0.0,0,1,2.8094840320603343,1.9780405503241247
P2,7,14,0.0812320798976851,0.0812320798976851,1,0,3.4848538583631026,1.8862127344395336
P2,8,14,0.08316344737799586,0.08316344737799586,1,0,1.9958722867676464,2.3517350904552417
P2,9,14,0.444475681610355,0.26580009672730487,4,0,2.4389446322657804,2.6102971700012163
P2,10,14,0.03924078969329359,0.012924228736235555,4,0,2.017525761183487,2.4277676576217337
P2,11,14,0.6851414031599623,0.31537978112945464,5,0,1.958206350982778,2.657091125516882
P2,12,14,0.038248486720498964,0.038248486720498964,1,0,2.0787218316958116,2.7955361302425414
P2,13,14,0.39199916711670846,0.2104371154517206,5,0,2.9677843045653005,2.799586500500857
P2,14,14,0.8638637236312342,0.35946335131730467,4,0,2.903004211875324,3.072548379978763
P2,15,14,0.10831106491516607,0.06319234398234719,3,0,2.3247022742816004,2.6244470133827633
P2,16,14,0.23268359695823482,0.16496041119994154,2,0,2.78888059518689,2.593909535045232
P2,17,14,0.0,0.0,0,1,3.2200723496307657,1.926412254027291
P2,18,14,0.005850473842411663,0.005850473842411663,1,0,4.786201308012339,1.5022166781474213
P2,19,14,0.5052247318265057,0.2642025037869542,4,0,2.543077415339433,3.1686000389378015
P2,20,14,0.7447298212000844,0.26237274613351136,6,0,2.6566327025455605,2.935456268247835
P2,21,14,0.18355321336523345,0.1149345148191101,3,0,2.167943210546821,2.4620271740147635
P2,22,14,0.5720535808544465,0.23049522456064242,6,0,2.7973907808891862,2.965731781713198
P2,23,14,0.14278896614445635,0.0785070801861929,3,0,2.099446552669365,2.5407836332966167
P2,24,14,0.17773753183812946,0.09010621247814421,2,0,3.182190933759538,2.3114175238707593
P2,25,14,0.13076668466311414,0.06532712740995339,3,0,2.629820527438662,2.8925672034565277
P2,26,14,0.3392988066972802,0.15349467649744974,5,0,3.2161955655600325,2.66514417149181
P2,27,14,0.44858857916420314,0.24086114602664244,4,0,2.096297521895576,2.9532673166952597
P2,28,14,0.14023810712956497,0.14023810712956497,1,0,3.002374432805224,2.5375856807981445
P2,29,14,0.22780712776550383,0.12547291846525221,4,0,1.7131247657878172,2.9567039125059096
P2,30,14,0.31340984124687776,0.3108689798804337,2,0,3.1481012152506507,2.2569565590257796
P3,1,14,0.9501584752342418,0.30405148821910577,7,0,1.8199621164644342,3.394365738826639
P3,2,14,0.43075128436224386,0.2594898370584954,2,0,3.102665475730584,2.4365470346028766
P3,3,14,0.0,0.0,0,1,1.519773719608497,2.4843804434889103
P3,4,14,0.30279161151985656,0.24754710616794562,5,0,2.6981025130511034,2.837531284678356
P3,5,14,0.21048226010606053,0.15628626252064892,2,0,1.8485915337821313,2.3343859573156993
P3,6,14,0.15965141891240409,0.08205108646860726,2,0,3.174017518274812,2.2567390906958975
P3,7,14,0.2714116308398701,0.19781475240784385,3,0,1.7103256895873233,2.5863952395718304
P3,8,14,0.18672242098579173,0.09075543826624766,3,0,1.5904284314590647,3.300685925679081
P3,9,14,0.11179952588546427,0.11179952588546427,1,0,1.9305299058500283,2.5823886433982435
P3,10,14,0.602540460022362,0.3805208209962796,2,0,3.134011803242895,2.301800829463517
P3,11,14,0.5300587671489975,0.2993349316341828,3,0,2.222897249369309,2.4027814472333175
P3,12,14,0.22126118993892196,0.1553873744887534,3,0,1.933487314308039,3.4200352405191197
P3,13,14,0.09149107497199427,0.09149107497199427,1,0,2.991905621075844,2.34165301766189
P3,14,14,0.24515821185904396,0.10395312982139271,4,0,2.7384888453609264,2.8089105228108564
P3,15,14,0.0,0.0,0,1,1.3493727965699924,1.9353718663162016
P3,16,14,0.09617454139276405,0.0923795029674983,2,0,2.0776499366037875,2.4738485418617717
P3,17,14,0.05898778558527695,0.04789334805832057,2,0,1.847352767304323,2.0346246024020704
P3,18,14,0.15791856636120838,0.1534868689907305,2,0,1.9794796105525827,2.908379457575448
P3,19,14,0.39005818279916993,0.13133882448248602,6,0,2.642818459735602,2.811896965387438
P3,20,14,0.19091233647293004,0.09228780258241476,4,0,2.8281455542890073,2.5617510393600975
P3,21,14,0.3131433237701491,0.23313262024449577,5,0,3.0783320877370235,2.5413711446662015
P3,22,14,0.3539856443203123,0.192808983679308,4,0,2.110292966744815,2.855464781297872
P3,23,14,0.00539471022930571,0.00539471022930571,1,0,2.251627025769918,2.3939034975339837
P3,24,14,0.2179386015514927,0.20877642244690053,2,0,2.4544763832046907,2.118129178340453
P3,25,14,0.7248702326718256,0.23127987855419607,5,0,2.383549973095318,3.120991365381126
P3,26,14,0.5565743398095159,0.2554929804129604,4,0,2.3778867326432294,2.962875368126492
P3,27,14,0.29968041639711784,0.13720716070588923,3,0,1.440844138301924,2.858111363026204
P3,28,14,0.0,0.0,0,1,5.189251048753549,1.7290772477799006
P3,29,14,0.42072307148639576,0.15469895812867362,5,0,2.2399205850964123,3.0408504437368493
P3,30,14,0.45346881373170633,0.22357486341158728,4,0,2.537318663097162,2.6078069419370555
P4,1,14,0.5274114118839061,0.20788331251482184,6,0,2.5040349942896363,3.1854123838534827
P4,2,14,0.0814541634454562,0.0767725744148191,2,0,1.5375544204746423,2.249038670259046
P4,3,14,0.2149070132044547,0.0795168915857194,4,0,4.1765059316767825,2.0760722285153874
P4,4,14,0.394599157682217,0.20427294670129947,4,0,2.792646501034213,3.0209437410289155
P4,5,14,0.8643683736103818,0.21765917295474413,8,0,2.249794325564064,3.498131471168904
P4,6,14,0.11978170893421136,0.11658000059678963,2,0,1.584159644260624,2.5650405322418286
P4,7,14,0.5495281069173444,0.29605989544716904,3,0,2.1178537652212652,3.0035760166174508
P4,8,14,0.4665362543989814,0.16790067223526728,6,0,2.206202061076646,3.590566604752021
P4,9,14,0.17094959749274108,0.05662168316043448,5,0,4.130820291674259,2.080063067074064
P4,10,14,0.4293912508549699,0.13246924427056905,6,0,2.3288404640688105,2.8634260738097175
P4,11,14,0.36901989464270624,0.18066169678614796,4,0,2.027139192667687,3.499555842925783
P4,12,14,0.2400588546386765,0.14455996881888467,3,0,2.8876028722631064,2.286565741249479
P4,13,14,0.2696039395312704,0.15366571377872917,3,0,2.357071173463966,2.7121498295395035
P4,14,14,0.47109884985464345,0.15355789061482672,4,0,1.9966614893691732,3.194656192617285
P4,15,14,0.12301837231737123,0.06889667805685984,2,0,2.424257969722622,2.524974454888623
P4,16,14,0.0,0.0,0,1,5.3531809256121345,1.5490117499330984
P4,17,14,0.2852095561958413,0.1618093724462032,2,0,2.4080843179020492,2.8291787864475055
P4,18,14,0.0,0.0,0,1,10.381129984732166,1.1265121855828588
P4,19,14,0.0659698631228639,0.0659698631228639,1,0,3.211622877525402,2.1671974564358525
P4,20,14,0.06002983458896427,0.05417323386618034,2,0,7.461216158143366,1.3660211114492173
P4,21,14,0.5211942069539709,0.22189060518406523,7,0,2.5713188128740505,3.0827511094456392
P4,22,14,0.1987304879914259,0.09934568196917837,4,0,2.460968181552018,2.9606618862195098
P4,23,14,0.1828716608776514,0.15794971473787556,3,0,2.277278909214776,1.6237270300675755
P4,24,14,0.44129017078099153,0.16650292399858446,4,0,2.423373064158447,2.760775974288394
P4,25,14,0.09361769528956099,0.0732683400180133,2,0,3.0439412563528685,2.2551068465206385
P4,26,14,0.18951525811345282,0.09968320536127295,4,0,3.0394102716584808,2.7313533700998587
P4,27,14,0.42897260613787247,0.27392752787577257,4,0,2.696659961570382,2.8152614333276227
P4,28,14,0.2112784240053306,0.12175349545030001,2,0,2.589826948630727,2.66095249461711
P4,29,14,0.3212526833778254,0.16671380995917995,4,0,3.205022153096575,2.479611352056668
P4,30,14,0.0385167253397799,0.024623275366759567,2,0,2.233546064282182,2.2509359590695595
P5,1,14,0.13124126764649469,0.07918125736541304,2,0,2.7311964346362347,2.5555692247091555
P5,2,14,0.18476103965299961,0.1712786808117296,2,0,2.3752110964999833,2.7355385345097116
P5,3,14,0.42129819306636596,0.19865141109528184,4,0,3.4285247099293934,2.5072890159355534
P5,4,14,0.14549929953312146,0.1338330694582166,2,0,2.334550139832359,2.786823109963488
P5,5,14,0.5589642393508514,0.2896310554319619,5,0,2.8260840968311753,2.916797219565309
P5,6,14,0.00577697483739803,0.00577697483739803,1,0,2.1369224276673147,1.6383484114000582
P5,7,14,0.0,0.0,0,1,2.256623966894264,1.9926499231049712
P5,8,14,0.13549158395220218,0.09849117980504785,3,0,2.5395010482104707,2.47905860124676
P5,9,14,0.4829078875024325,0.18012679257235187,5,0,2.8720426684898634,2.707424182087029
P5,10,14,0.013347432191553543,0.013347432191553543,1,0,5.217241175872462,1.7539335878997886
P5,11,14,0.2502720471509753,0.13421802566008234,3,0,3.2582105898012848,2.3695917816944423
P5,12,14,0.45407952136672614,0.20465026188653956,6,0,2.6800354636529753,3.2515295212361086
P5,13,14,0.088547894585293,0.06292609426391527,3,0,1.712390685377883,1.858707172027589
P5,14,14,0.09307382063758907,0.09307382063758907,1,0,2.047998851644846,2.0989880132271854
P5,15,14,0.0,0.0,0,1,3.726904602000406,1.8438413784889431
P5,16,14,0.17888088356024212,0.17888088356024212,1,0,2.9738226536174333,1.7887936203010106
P5,17,14,0.24506252614443536,0.09769029863463774,4,0,1.9534186262528328,3.8272336131446316
P5,18,14,0.01610069751619092,0.009342871624478444,2,0,3.426707284718126,2.392430928253979
P5,19,14,0.4321375906392708,0.21562805425323617,4,0,3.47638290811971,2.2204986727833864
P5,20,14,0.15695140206684877,0.09700779229928647,2,0,2.5011231031877066,2.9025419811209217
P5,21,14,0.16547109077482114,0.16547109077482114,1,0,3.0872158739733067,2.177743503058077
P5,22,14,0.07650141633213103,0.058284649223417695,2,0,3.004207847475565,2.3587648005134683
P5,23,14,0.05797189271626291,0.05797189271626291,1,0,3.479085629567105,2.3365803724152436
P5,24,14,0.03722135513153102,0.03718886990199832,2,0,3.2457658918177774,1.961548360134772
P5,25,14,0.05965546133530186,0.05965546133530186,1,0,3.2760287850963685,1.8292834692961706
P5,26,14,0.23907508889963514,0.14172631398137636,3,0,3.4941249548547084,2.398112347131923
P5,27,14,0.04459872261668363,0.04459872261668363,1,0,3.2451503775652233,2.3608240278610224
P5,28,14,0.2064967416562684,0.19583080221657279,2,0,2.659098802858054,2.4785117428136005
P5,29,14,0.27323996682232154,0.25038337599462857,2,0,1.293327766845246,2.8668604719787742
P5,30,14,0.21784171869852476,0.12036943955163082,4,0,3.289797559330938,2.6399421133023604
P6,1,14,0.8565721524192305,0.20178929153471747,8,0,2.5888966498651174,3.4819280257778638
