label,channel_mode,feature_mode,task_mode,is_sig_session,best_pair,peak_task_idx,peak_signed_contrib,top_lambda2,rest_lambda2,top_aspl,rest_aspl,top_h1_zero,rest_h1_zero,delta_lambda2,delta_aspl,delta_h1_zero
P1,4ch,20corr,26task,1,Delta_mean x p00,11,2.3082050549581354,6.097775028341914,8.190902310753907,1.8553896207159064,1.3552912150902234,0.2857142857142857,0.2631578947368421,-2.0931272824119933,0.500098405625683,0.022556390977443608
P10,4ch,20corr,26task,0,Theta_mean x p01,12,10.173032667938816,3.531137928538204,3.2252052149101598,2.3522271025749055,2.1539997922031286,0.0,0.3157894736842105,0.3059327136280441,0.19822731037177688,-0.3157894736842105
P11,4ch,20corr,26task,1,Alpha_mean x p00,3,6.458832244664741,2.3527645407276134,2.769198432052478,2.7539695192163043,2.5041702379751194,0.0,0.05263157894736842,-0.41643389132486464,0.2497992812411849,-0.05263157894736842
P12,4ch,20corr,26task,0,Beta_mean x p00,1,5.654588213545847,2.332892690487109,2.858645571444438,2.6386363578520213,2.503020883492027,0.0,0.10526315789473684,-0.5257528809573291,0.13561547435999444,-0.10526315789473684
P13,4ch,20corr,26task,0,Delta_mean x p10,19,5.189918742425553,2.568693918661056,2.604397316577719,2.6242198706086834,2.6133054804130986,0.0,0.05263157894736842,-0.03570339791666299,0.010914390195584822,-0.05263157894736842
P14,4ch,20corr,26task,1,Gamma_mean x p10,26,3.6271437739842343,4.155195752221195,3.476004973519671,2.2048335587422883,2.5379014493528973,0.14285714285714285,0.15789473684210525,0.6791907787015234,-0.33306789061060904,-0.015037593984962405
P15,4ch,20corr,26task,0,Theta_mean x p11,5,8.509946990427302,4.131815679804833,4.230400493657732,2.6291147587384627,2.4768096898371534,0.14285714285714285,0.10526315789473684,-0.09858481385289863,0.15230506890130924,0.03759398496240601
P16,4ch,20corr,26task,0,Theta_mean x p01,1,4.493037940704256,4.349336442243845,3.306309432483545,2.4033528176054624,2.6455752577922165,0.14285714285714285,0.05263157894736842,1.0430270097603,-0.2422224401867541,0.09022556390977443
P17,4ch,20corr,26task,1,Beta_mean x p00,11,3.3829449170976886,3.530581255934481,2.9443283909187805,1.8964128950659915,2.2552524407278804,0.2857142857142857,0.10526315789473684,0.5862528650157004,-0.3588395456618889,0.18045112781954886
P18,4ch,20corr,26task,0,Gamma_mean x p11,13,1.4384232707909206,4.573284755107609,4.118055761280133,2.4706440776936973,1.8218414943704104,0.14285714285714285,0.15789473684210525,0.4552289938274754,0.6488025833232869,-0.015037593984962405
P19,4ch,20corr,26task,1,Gamma_mean x p11,12,3.9403033224349873,2.9909669736787916,2.70613681550931,2.546963221474389,2.8013040810414234,0.0,0.05263157894736842,0.28483015816948143,-0.25434085956703445,-0.05263157894736842
P2,4ch,20corr,26task,1,Beta_mean x p11,26,3.4015135527059823,3.1966327897917775,2.443998257900968,2.425800482996255,2.514708941852763,0.14285714285714285,0.15789473684210525,0.7526345318908096,-0.08890845885650789,-0.015037593984962405
P20,4ch,20corr,26task,0,Theta_mean x p00,22,4.042993788260599,3.7651755227127692,2.682430941346808,2.240881946992105,2.5367504398249374,0.2857142857142857,0.0,1.082744581365961,-0.29586849283283234,0.2857142857142857
P21,4ch,20corr,26task,0,Delta_mean x p10,21,3.1041435083008397,3.389715191331714,3.3060382486369018,2.4780599898976945,2.602625047662339,0.42857142857142855,0.05263157894736842,0.08367694269481207,-0.12456505776464466,0.37593984962406013
P22,4ch,20corr,26task,0,Gamma_mean x p01,9,5.061985480461162,4.533266094974406,2.4536158906939396,2.5012843125966944,2.8185578397464934,0.14285714285714285,0.0,2.0796502042804668,-0.31727352714979906,0.14285714285714285
P23,4ch,20corr,26task,1,Delta_mean x p11,5,6.9742544160553575,4.114264878577377,2.8035181103199753,2.120360494413786,2.526635765547176,0.14285714285714285,0.0,1.310746768257402,-0.4062752711333899,0.14285714285714285
P24,4ch,20corr,26task,0,Beta_mean x p01,25,3.512203085212063,3.1944963875046346,2.781828973158739,2.4418388855339086,2.511842043003237,0.14285714285714285,0.0,0.4126674143458957,-0.0700031574693285,0.14285714285714285
P25,4ch,20corr,26task,0,Delta_mean x p00,1,6.53260839401702,2.868799873683252,3.677730916039694,2.285100778517945,2.1638987935673883,0.2857142857142857,0.10526315789473684,-0.8089310423564418,0.12120198495055678,0.18045112781954886
P26,4ch,20corr,26task,1,Alpha_mean x p10,9,5.184706750503363,2.313992204017514,2.4575822654829804,2.962138017860578,2.890466511496743,0.14285714285714285,0.0,-0.1435900614654666,0.07167150636383468,0.14285714285714285
P3,4ch,20corr,26task,1,Gamma_mean x p01,19,7.508294222040953,2.548333724381582,2.2083071558286425,2.549587404579384,2.650531389059984,0.0,0.10526315789473684,0.34002656855293933,-0.10094398448060016,-0.10526315789473684
P4,4ch,20corr,26task,1,Delta_mean x p10,18,11.926975008103092,3.575781490318915,2.9959052328589917,2.589910620515663,2.5617418954432636,0.14285714285714285,0.05263157894736842,0.5798762574599232,0.028168725072399425,0.09022556390977443
P5,4ch,20corr,26task,1,Alpha_mean x p10,3,5.368011203274269,2.8363839387070326,2.9582438918459126,2.7271609997620816,2.242078649837637,0.0,0.10526315789473684,-0.12185995313887998,0.48508234992444477,-0.10526315789473684
P6,4ch,20corr,26task,0,Theta_mean x p01,11,3.2211060094911006,2.2464817717719145,2.4302508412763704,2.7101105402955485,2.8645516165106377,0.0,0.0,-0.18376906950445582,-0.15444107621508918,0.0
P7,4ch,20corr,26task,0,Gamma_mean x p01,3,4.785772498671992,3.40407211799956,2.8740197517860504,2.214985493930684,2.2513262875381628,0.14285714285714285,0.05263157894736842,0.5300523662135097,-0.03634079360747888,0.09022556390977443
P8,4ch,20corr,26task,1,Beta_mean x p11,1,5.616870108752644,3.55192439569782,2.571291038132611,2.812592163996819,2.6046940312658298,0.14285714285714285,0.10526315789473684,0.9806333575652091,0.20789813273098945,0.03759398496240601
P9,4ch,20corr,26task,1,Theta_mean x p10,22,4.864439527377153,2.644542980823746,2.3764654703880908,2.8788580974504856,2.9875270832686787,0.14285714285714285,0.0,0.2680775104356554,-0.10866898581819306,0.14285714285714285
