label,peak_task_idx,rel_t_sec,h1_total_persistence,lambda2,aspl,h1_zero,best_pair,z_h1_total_persistence,z_lambda2,z_aspl
P1,22,-2.0,0.0,3.793107074157645,1.3996054184308884,1,Delta_peak x p00,-0.6574615823858656,-0.8012839902356601,-0.249746827957999
P1,22,-1.875,0.001622813276252022,9.239706350546045,1.0905089941873916,0,Delta_peak x p00,-0.6452657015776653,0.4849862985239148,-0.8980159545158309
P1,22,-1.75,0.0007064147444370006,13.383316982098735,1.013306602522321,0,Delta_peak x p00,-0.6521526844674269,1.4635424531247863,-1.0599328292754844
P1,22,-1.625,0.0,13.147456718078121,1.0198525960515057,1,Delta_peak x p00,-0.6574615823858656,1.4078416323899308,-1.0462038917182033
P1,22,-1.5,7.911316259567869e-05,10.759767798401601,1.054533798999626,0,Delta_peak x p00,-0.6568670255656225,0.8439644017857997,-0.9734668705825541
P1,22,-1.375,0.00012425742977251186,6.118308073707669,1.20038995690434,0,Delta_peak x p00,-0.6565277541844234,-0.252163922952417,-0.6675621862453347
P1,22,-1.25,0.0005999953915947209,10.967607264038445,1.0578078195215956,0,Delta_peak x p00,-0.6529524546948112,0.8930478235530808,-0.966600254673605
P1,22,-1.125,0.0054581385054282006,3.834081407767066,1.3337427234953299,0,Delta_peak x p00,-0.6164421948685347,-0.7916074810509292,-0.3878809128899692
P1,22,-1.0,0.001267445908439635,12.29977103551875,1.0641740772214494,0,Delta_peak x p00,-0.6479363834881395,1.207651963138918,-0.9532482777666346
P1,22,-0.875,7.76962607283993e-05,13.279084072001309,1.014360221821791,0,Delta_peak x p00,-0.6568776739664849,1.438926782214227,-1.057723069441919
P1,22,-0.75,0.00022665788076858817,13.486519334704672,1.0086273430946577,0,Delta_peak x p00,-0.6557581870916902,1.4879147473125698,-1.069746658178659
P1,22,-0.625,0.0002264531075143461,13.416466317499422,1.011865377338792,0,Delta_peak x p00,-0.6557597260180954,1.4713710087159557,-1.0629555164294562
P1,22,-0.5,0.0,11.061495441975751,1.0492084756174453,1,Delta_peak x p00,-0.6574615823858656,0.9152204798507563,-0.984635691917364
P1,22,-0.375,0.0,4.269441956757852,1.6080260052076658,1,Delta_peak x p00,-0.6574615823858656,-0.6887926216041311,0.18737447513418654
P1,22,-0.25,0.10633416198163503,4.121411914129176,1.928132105281103,0,Delta_peak x p00,0.14166841263303734,-0.7237514346202663,0.8587342374100745
P1,22,-0.125,0.0019512212454351197,9.713857795645918,1.2069826175871612,0,Delta_peak x p00,-0.6427976268415068,0.5969620259926692,-0.6537353734861618
P1,22,0.0,0.0004351953557192312,12.974202702127517,1.0353389546228275,0,Delta_peak x p00,-0.6541909715495454,1.3669259193335974,-1.0137242919649447
P1,22,0.125,0.002013387143439016,13.065241405771276,1.0350078262113258,0,Delta_peak x p00,-0.6423304332995972,1.3884256430477688,-1.014418768863628
P1,22,0.25,0.011848731137054314,10.038905896564572,1.1894337228609126,0,Delta_peak x p00,-0.5684151623259618,0.6737254692740385,-0.6905407382977538
P1,22,0.375,0.013265903563764558,2.2629993082165982,1.6259976164877668,0,Delta_peak x p00,-0.5577647281363033,-1.1626346345656595,0.2250664050097973
P1,22,0.5,0.14747613723343522,2.6873589053348876,1.8954311635340826,0,Delta_peak x p00,0.45086148723231084,-1.062417762748135,0.7901504257537498
P1,22,0.625,0.24664735266662818,2.4716632639947544,2.3432299962313348,0,Delta_peak x p00,1.1961600010705393,-1.1133565009941264,1.7293206502451837
P1,22,0.75,0.32332434240792896,3.8571855660806658,2.131971271314695,0,Delta_peak x p00,1.7724083232288776,-0.7861511970693974,1.2862469090506101
P1,22,0.875,0.05769162409713491,3.608885987252889,1.7842533310336828,0,Delta_peak x p00,-0.22389341935902665,-0.8447896895948588,0.556976727468421
P1,22,1.0,0.0,4.711201617381988,1.7425077874147736,1,Delta_peak x p00,-0.6574615823858656,-0.5844665463048807,0.4694236373097551
P1,22,1.125,0.37303769151483723,4.051045164055215,1.984045609047709,0,Delta_peak x p00,2.1460175912554402,-0.7403692644520075,0.9760018452068294
P1,22,1.25,0.1551626506598882,4.157011759515914,1.7436884971233408,0,Delta_peak x p00,0.5086277151474279,-0.7153441659592681,0.4718999443500729
P1,22,1.375,0.0,2.914742786715247,1.6167843878725365,1,Delta_peak x p00,-0.6574615823858656,-1.0087187267220576,0.20574346498617593
P1,22,1.5,0.2613804069718838,4.263658545559657,2.0784014762198435,0,Delta_peak x p00,1.30688289006651,-0.6901584334831445,1.1738947705196767
P1,22,1.625,0.3191306424571384,3.459436386619422,2.524726996876535,0,Delta_peak x p00,1.740891533531839,-0.880083745795241,2.1099750119677316
P1,22,1.75,0.45742692015605335,2.1858795077064004,2.4620194780991462,0,Delta_peak x p00,2.780225475221755,-1.1808472665287568,1.9784582902006669
P1,22,1.875,0.12124341674213224,4.295593818945866,2.048160117686099,0,Delta_peak x p00,0.25371549571955687,-0.6826165910901913,1.1104694522534615
P1,22,2.0,0.27819414719462043,3.2440363562132526,1.8144946045079695,0,Delta_peak x p00,1.4332426966427376,-0.9309526724868853,0.6204018673391061
P10,3,-2.0,0.15632945459607683,3.5258124753538285,2.3224596982902295,0,Delta_stability x p00,-0.08968092070355604,-0.33116718280254714,0.9756137142275625
P10,3,-1.875,0.12518583785959814,3.239473516670456,2.184263017189656,0,Delta_stability x p00,-0.2979299064045791,-0.4690162635026599,0.6356277332150353
P10,3,-1.75,0.07253782874924974,3.7123011971615574,2.2660284660038683,0,Delta_stability x p00,-0.6499729779970381,-0.2413879261469375,0.8367838399076308
