label,is_sig_session,best_pair,top_lambda2,rest_lambda2,top_aspl,rest_aspl,top_h1_zero,rest_h1_zero
P1,1,p00 x Delta_peak,9.291611868399729,7.01422558020629,1.3794926943170707,1.5306216616582156,0.2857142857142857,0.2631578947368421
P10,1,p00 x Delta_stability,3.713504390041547,3.1580175711984015,2.2910353464760638,2.1765441233974387,0.14285714285714285,0.2631578947368421
P11,1,p00 x Alpha_mean,2.3527645407276134,2.769198432052478,2.753969519216304,2.504170237975119,0.0,0.05263157894736842
P14,1,p10 x Gamma_mean,4.1551957522211955,3.476004973519671,2.2048335587422883,2.5379014493528973,0.14285714285714285,0.15789473684210525
P17,1,p00 x Beta_mean,3.530581255934481,2.9443283909187805,1.8964128950659915,2.25525244072788,0.2857142857142857,0.10526315789473684
P19,1,p11 x Gamma_mean,2.990966973678792,2.70613681550931,2.546963221474389,2.8013040810414234,0.0,0.05263157894736842
P2,1,p11 x Beta_mean,3.1966327897917775,2.443998257900968,2.425800482996255,2.514708941852763,0.14285714285714285,0.15789473684210525
P20,1,p01 x Gamma_stability,2.6679054665032376,3.0866883304766346,2.4887482278555284,2.445431283717361,0.14285714285714285,0.05263157894736842
P21,1,p10 x Delta_peak,3.982993980994809,3.087461852445236,2.242328656449664,2.6894734336695083,0.42857142857142855,0.05263157894736842
P23,1,p11 x Delta_mean,4.114264878577377,2.8035181103199753,2.1203604944137857,2.526635765547176,0.14285714285714285,0.0
P25,1,p00 x Delta_peak,2.87643842835164,3.6749167116881822,2.301803091280171,2.1577453099181474,0.2857142857142857,0.10526315789473684
P26,1,p10 x Alpha_mean,2.313992204017514,2.4575822654829804,2.962138017860578,2.890466511496743,0.14285714285714285,0.0
P3,1,p01 x Gamma_mean,2.5483337243815822,2.2083071558286425,2.549587404579384,2.650531389059984,0.0,0.10526315789473684
P4,1,p10 x Delta_stability,3.331424363720283,3.0859315426584883,2.498660420713954,2.5953603901070506,0.14285714285714285,0.05263157894736842
P5,1,p10 x Alpha_stability,2.995395885086082,2.8996605431799467,2.454020953760508,2.342709193101374,0.0,0.10526315789473684
P8,1,p11 x Beta_mean,3.5519243956978204,2.5712910381326113,2.8125921639968188,2.6046940312658298,0.14285714285714285,0.10526315789473684
P9,1,p10 x Theta_mean,2.644542980823746,2.3764654703880908,2.878858097450485,2.9875270832686787,0.14285714285714285,0.0
P12,0,p00 x Beta_mean,2.332892690487109,2.858645571444438,2.6386363578520213,2.503020883492027,0.0,0.10526315789473684
P13,0,p10 x Delta_peak,2.568693918661056,2.604397316577719,2.6242198706086834,2.613305480413098,0.0,0.05263157894736842
P15,0,p11 x Theta_stability,3.540157808473796,4.448379709411272,2.6815346696020987,2.457497091097919,0.0,0.15789473684210525
P16,0,p01 x Theta_stability,2.726345049851512,3.9042536296807206,2.8403727432038473,2.484567916782286,0.0,0.10526315789473684
P18,0,p11 x Gamma_mean,4.573284755107609,4.118055761280133,2.4706440776936973,1.8218414943704104,0.14285714285714285,0.15789473684210525
P22,0,p01 x Gamma_mean,4.533266094974407,2.4536158906939396,2.5012843125966944,2.8185578397464934,0.14285714285714285,0.0
P24,0,p01 x Beta_peak,2.6228120250137237,2.992449527760653,2.454227355353185,2.507277869911925,0.0,0.05263157894736842
P6,0,p01 x Theta_stability,2.1893417087518476,2.451302443441658,3.0538869403845195,2.737897153319964,0.0,0.0
P7,0,p00 x Delta_stability,2.489544134699556,3.2109511140544735,2.327110096033585,2.210017223605515,0.0,0.10526315789473684
