label,is_sig_session,n_stage2,best_pair,best_r,best_abs_r,best_q_fdr,top_task_indices,top_h1_zero_mean,rest_h1_zero_mean,delta_h1_zero,rho_h1_zero,p_h1_zero,top_h1_total_persistence_mean,rest_h1_total_persistence_mean,delta_h1_total_persistence,rho_h1_total_persistence,p_h1_total_persistence,top_lambda2_mean,rest_lambda2_mean,delta_lambda2,rho_lambda2,p_lambda2,top_aspl_mean,rest_aspl_mean,delta_aspl,rho_aspl,p_aspl,top_Q_Ricci_mean,rest_Q_Ricci_mean,delta_Q_Ricci,rho_Q_Ricci,p_Q_Ricci,top_abs_Q_Ricci_mean,rest_abs_Q_Ricci_mean,delta_abs_Q_Ricci,rho_abs_Q_Ricci,p_abs_Q_Ricci,top_E_Ricci_mean,rest_E_Ricci_mean,delta_E_Ricci,rho_E_Ricci,p_E_Ricci,top_qricci_cross_any_mean,rest_qricci_cross_any_mean,delta_qricci_cross_any,rho_qricci_cross_any,p_qricci_cross_any
P1,1,1,p00 x Delta_mean,0.48530588094269,0.48530588094269,0.0065599581036678,"1,2,10,13,19,25,26,27",0.375,0.18181818181818182,0.19318181818181818,0.22308168876157186,0.23603548385721468,0.11235112120875458,0.023705970190823124,0.08864515101793145,-0.17797528952581051,0.3467401262898202,7.584748789732622,7.528887788992248,0.055861000740374145,0.04872080088987764,0.798207654785929,1.8034052622329015,1.457739720917391,0.3456655413155105,-0.07897664071190211,0.6782581459823961,-0.0017693063135547,-0.0016525622975103,-0.00011674401604439997,-0.08855267604022843,0.6416954471026217,0.0017693063135547,0.0016525622975103,0.00011674401604439997,0.08855267604022843,0.6416954471026217,-7.579988887361129,-8.512849228610671,0.9328603412495422,0.3686318131256952,0.04501571377538029,0.0,0.0,0.0,,
P10,0,0,p01 x Theta_mean,0.3472832610193443,0.3472832610193443,,"0,4,9,11,14,21,27,29",0.0,0.2727272727272727,-0.2727272727272727,-0.1251621121570517,0.5098890037065772,0.1967865436529569,0.09711888418094387,0.09966765947201302,0.003796790585386947,0.9841133698108838,3.4409739464512716,3.3478635967965173,0.09311034965475429,-0.06874304783092325,0.7181370776973052,2.329198869438632,2.193091881128015,0.13610698831061718,-0.03136818687430478,0.869297908673841,-0.0559416813321367,-0.04541776865370831,-0.010523912678428393,-0.20046723897549198,0.28815495879358405,0.0559416813321367,0.04541776865370831,0.010523912678428393,0.20046723897549198,0.28815495879358405,-7.247968732226414,-8.219268305351704,0.9712995731252905,0.08342602892102337,0.661174334820857,0.0,0.0,0.0,,
P11,1,1,p00 x Alpha_mean,-0.4412100094141277,0.4412100094141277,0.014661933688572,"1,2,5,6,8,18,25,29",0.125,0.0,0.125,0.18236047045259202,0.33479140792369694,0.259198078508685,0.2164374024035049,0.042760676105180084,0.06829810901001113,0.7198884259266681,2.335954286782116,2.89929837958489,-0.5633440928027742,-0.22180200222469412,0.23880395639710442,2.69975184902287,2.470692077163225,0.229059771859645,-0.029143492769744164,0.8784968881047432,-0.050757059215337186,-0.03331140851071899,-0.017445650704618197,-0.17823765461295618,0.34601810560722013,0.050757059215337186,0.06006336525944958,-0.009306306044112395,0.11815754631645407,0.5340335677105209,-7.671765574961961,-7.845234397051232,0.17346882208927106,0.05583982202447163,0.7694609720013511,0.25,0.045454545454545456,0.20454545454545453,0.22464994489727225,0.23267209095889615
P12,0,0,p00 x Delta_mean,-0.2355567750260722,0.2355567750260722,,"0,1,2,5,10,16,18,24",0.125,0.045454545454545456,0.07954545454545454,0.12351131643867984,0.5155301937530121,0.21856395407057286,0.19366093795365666,0.0249030161169162,0.029369229239472747,0.8775627535296946,2.263339564774886,2.954580288944214,-0.6912407241693277,-0.04916573971078977,0.7964029673512731,2.5308737560639765,2.5151535293198375,0.015720226744138976,-0.07452725250278086,0.6954997391980633,-0.06883832353708016,-0.06916576770080951,0.0003274441637293457,0.10478309232480533,0.5815962537668229,0.06883832353708016,0.06916576770080951,-0.0003274441637293457,-0.10478309232480533,0.5815962537668229,-8.20228881035226,-7.979143960905122,-0.22314484944713708,-0.17864293659621802,0.34490456300229666,0.0,0.0,0.0,,
P13,1,2,p00 x Theta_mean,-0.4800202111340131,0.4800202111340131,0.0145275432646115,"3,5,11,14,18,23,28,29",0.0,0.045454545454545456,-0.045454545454545456,-0.11799795146932425,0.5345899727932935,0.17133609385557394,0.22132264928433676,-0.04998655542876282,-0.2395995550611791,0.20222102890238194,2.8168005394351034,2.5907095402473264,0.2260909991877771,0.27875417130144603,0.13578511553789818,2.530866717680418,2.6579699129658922,-0.12710319528547442,-0.21557285873192436,0.2525886590804357,-0.07147940777894932,-0.06138284779979899,-0.010096559979150328,-0.14705228031145717,0.4380773551924662,0.07147940777894932,0.06138284779979899,0.010096559979150328,0.14705228031145717,0.4380773551924662,-8.265780493858287,-7.881982352252012,-0.3837981416062748,-0.23515016685205786,0.21098110982847498,0.0,0.0,0.0,,
P14,0,0,p00 x Gamma_mean,-0.3044998825165325,0.3044998825165325,,"0,2,9,11,12,20,23,25",0.125,0.22727272727272727,-0.10227272727272727,-0.18292924084492168,0.33326022830138363,0.16578104404444638,0.21430582138073734,-0.04852477733629096,0.22490400702850918,0.2321302522724407,4.209336130100949,3.5144116447751017,0.6949244853258474,0.026918798665183537,0.8877114005855589,2.254184367848804,2.50818795407905,-0.2540035862302461,0.12880978865406006,0.49753319205200913,-0.05274103002234601,-0.06468402128008931,0.011942991257743299,0.22491657397107895,0.23210347272670978,0.05274103002234601,0.06468402128008931,-0.011942991257743299,-0.22491657397107895,0.23210347272670978,-7.828299607581651,-7.695635361808465,-0.13266424577318592,0.2596218020022247,0.1659071671041031,0.0,0.0,0.0,,
P15,0,0,p11 x Theta_mean,0.3315670713582633,0.3315670713582633,,"3,4,13,19,20,21,24,28",0.125,0.09090909090909091,0.03409090909090909,0.3273470625645967,0.07743194277978556,0.26636372262861974,0.25434610560986076,0.012017617018758975,-0.15869131329609604,0.40226578090916,3.779325059655537,4.139955398169649,-0.36063033851411186,0.12614015572858733,0.5065612472958686,2.870154051711588,2.419962997744203,0.450191053967385,0.05583982202447163,0.7694609720013511,-0.04574786560663223,-0.0269951283795753,-0.01875273722705693,0.14304783092324808,0.4507868543266535,0.04574786560663223,0.08365355098453305,-0.037905685377900816,-0.21156840934371526,0.26172155259469615,-7.54613563807583,-7.987813367567611,0.4416777294917811,0.0024471635150166847,0.9897601406859131,0.0,0.18181818181818182,-0.18181818181818182,-0.10196159414665662,0.5918637407265754
P16,1,2,p00 x Theta_mean,0.4018237228406448,0.4018237228406448,0.0390487593374869,"1,2,4,16,19,21,25,26",0.125,0.045454545454545456,0.07954545454545454,0.15438914554834976,0.4153050303247528,0.1759226316333818,0.27043432344101387,-0.09451169180763208,-0.006674824827152898,0.9720746707580632,4.129286505012444,3.2316888819212988,0.8975976230911451,-0.05850945494994438,0.7587555295721804,2.348760204482489,2.713035953076566,-0.3642757485940771,-0.058954393770856504,0.756975472697446,-0.01724854562659754,-0.036310099191386745,0.019061553564789207,-0.06607341490545049,0.7286658674295456,0.08723099196635617,0.06462405410810355,0.022606937858252615,0.040266963292547274,0.8326804047464437,-8.604135972151898,-7.449434300699801,-1.1547016714520968,-0.22180200222469412,0.23880395639710442,0.125,0.22727272727272727,-0.10227272727272727,-0.19255709562623338,0.30799209764337926
P17,0,0,p10 x Gamma_mean,0.2841133606664715,0.2841133606664715,,"2,3,4,10,12,14,25,28",0.25,0.09090909090909091,0.1590909090909091,0.12461972617924699,0.5117391005174621,0.043105376050657174,0.15352429601961878,-0.11041891996896161,-0.2521159692387733,0.17893221775085752,3.041775097338573,3.4140685560120163,-0.3722934586734432,-0.09632925472747497,0.6125912726882877,2.0415630987593825,2.19097497095533,-0.14941187219594765,0.055394883203559515,0.7712493167085642,-0.06780604689365397,-0.06235662856772528,-0.005449418325928684,0.22313681868743046,0.2359167000378454,0.06780604689365397,0.06235662856772528,0.005449418325928684,-0.22313681868743046,0.2359167000378454,-8.306068868745859,-8.439586323396817,0.1335174546509581,0.1243604004449388,0.5126248379279994,0.0,0.0,0.0,,
P18,0,0,p11 x Gamma_mean,0.2732742704293616,0.2732742704293616,,"1,6,10,12,14,17,22,27",0.125,0.13636363636363635,-0.011363636363636354,-0.033987198048885545,0.8584899304811865,0.26604653673442,0.12588321041891928,0.14016332631550074,0.13496667611192278,0.4770252305896776,4.276638369971435,3.8714228773981545,0.4052154925732805,-0.21067853170189096,0.2637799988692376,2.546426644481629,1.9925309016707102,0.5538957428109186,0.13014460511679646,0.4930497416401701,-0.07026884454028873,-0.023483687227748316,-0.04678515731254041,-0.3308120133481646,0.07416427730755928,0.07026884454028873,0.07547142325442449,-0.005202578714135764,0.14260289210233593,0.45221109012212074,-7.529240790191641,-8.008972027568175,0.47973123737653456,0.0033370411568409346,0.9860368669198688,0.375,0.13636363636363635,0.23863636363636365,0.16367353128229833,0.38745955522906783
